username,language,isInfluencer,profession,isBank,isViral,hashtags
BitcoinkoersO,nl,0,unknown,0,0,"['Bitcoin', 'inflatie', 'ECB']"
PMA_Accountants,en,0,unknown,0,0,"['Inflation', 'EuropeanCentralBank']"
upasakabala,en,0,unknown,0,0,"['Inflation', 'EuropeanCentralBank']"
RealVision,en,0,unknown,0,0,['ECB']
supreed,en,0,unknown,0,0,"['Euros', 'Yen', 'ECB']"
Grain_Cycles,0,0,0,0,0,0
RdeTemas,es,0,unknown,0,0,"['BCE', 'ECB', 'EuropeanCentralBank']"
CincoDiascom,0,0,0,0,0,0
CantillonCH,en,0,unknown,0,0,"['FederalReserve', 'ECB', 'bankofengland', 'inflation', 'Sintra']"
gbponz,en,0,unknown,0,0,['ECB']
Theanatoliapost,en,0,unknown,0,0,"['Fed', 'JeromePowell', 'ECB', 'BoE', 'ChristineLagarde', 'AndrewBailey', 'resesyon', 'recession']"
bankofengland,0,0,0,0,0,0
CantillonCH,en,0,unknown,0,0,"['ECB', 'Sintra', 'Lagarde', 'inflation']"
Kopernek,nl,0,unknown,0,0,"['ECB', 'derdeRijk']"
